user_id,video_id,is_click,play_time_ms,duration_ms,profile_stay_time,comment_stay_time,tab,user_active_degree,is_lowactive_period,is_live_streamer,is_video_author,follow_user_num,follow_user_num_range,fans_user_num,fans_user_num_range,friend_user_num,friend_user_num_range,register_days,register_days_range,onehot_feat0,onehot_feat1,onehot_feat2,onehot_feat3,onehot_feat4,onehot_feat5,onehot_feat6,onehot_feat7,onehot_feat8,onehot_feat9,onehot_feat10,onehot_feat11,onehot_feat12,onehot_feat13,onehot_feat14,onehot_feat15,onehot_feat16,onehot_feat17,video_type,visible_status,server_width,server_height
0,1836,0,1190,132433,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
34,1836,0,2262,132433,0,0,1,0,0,1,1,253,5,452,3,249,5,1315,6,1,1,2,1175,2.0,0,1,8,209,6,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
516,1836,0,1343,132433,0,0,1,0,0,-124,0,14,2,1,1,0,0,34,1,1,1,10,238,3.0,0,1,9,310,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
629,1836,0,1524,132433,0,0,1,0,0,-124,1,105,3,6,1,3,1,641,5,0,1,29,1318,1.0,0,1,18,292,6,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
716,1836,0,1086,132433,0,0,1,1,0,-124,1,41,2,13,2,1,1,2090,6,1,4,2,1153,5.0,0,1,8,262,6,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
833,1836,0,1623,132433,0,0,1,0,0,-124,1,245,4,137,3,137,5,797,6,0,0,19,527,2.0,0,0,15,109,3,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
928,1836,0,1392,132433,0,0,1,1,0,-124,1,410,5,8,1,5,2,62,2,1,3,48,692,1.0,0,1,34,155,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,960.0
0,721,0,1528,25266,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
345,721,0,5007,25266,0,0,1,1,0,1,1,155,4,919,3,148,5,1501,6,0,3,10,125,0.0,0,1,43,136,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
768,721,0,5999,25266,0,0,1,1,0,-124,1,600,7,21,2,3,1,1763,6,0,4,29,904,2.0,0,1,21,34,6,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,442,0,1490,12000,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
58,442,1,13232,12000,0,0,1,1,0,1,1,31,2,23,2,0,0,1000,6,0,3,2,1165,6.0,0,1,8,287,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
148,442,0,1139,12000,0,0,1,1,0,1,1,191,4,43,2,29,2,1910,6,1,3,28,993,15.0,0,0,24,264,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
299,442,0,4943,12000,0,0,1,1,0,-124,1,1971,7,939,3,864,6,915,6,0,4,2,1126,6.0,0,0,22,186,3,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
310,442,0,1470,12000,0,0,1,2,0,-124,1,332,5,70,2,23,2,2149,6,1,4,28,340,15.0,0,0,15,304,1,0,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
333,442,0,1324,12000,0,0,1,1,0,-124,1,84,6,9,1,0,0,172,3,0,4,19,633,2.0,0,0,31,37,3,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
557,442,0,1724,12000,0,0,1,0,0,-124,1,17,2,190,3,1,1,1513,6,0,1,2,1176,2.0,0,1,8,260,3,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
561,442,0,2683,12000,0,0,1,1,0,-124,1,19,2,229,3,19,2,1267,6,1,1,2,1180,2.0,0,1,12,44,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,62,0,1419,169500,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
38,62,1,33185,169500,0,0,1,0,0,-124,1,476,5,20,2,13,2,1028,6,0,1,19,580,1.0,0,1,0,160,3,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
70,62,0,1494,169500,0,0,1,1,0,-124,1,101,3,179,3,98,4,1712,6,1,1,2,1158,5.0,0,1,44,238,4,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
147,62,1,9048,169500,0,0,1,1,0,-124,1,366,5,15,2,11,2,91,3,0,1,2,1151,3.0,0,1,44,121,5,4,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
178,62,0,817,169500,0,0,1,4,0,1,1,1234,7,403,3,203,5,1396,6,1,5,28,649,15.0,0,0,33,195,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
382,62,0,938,169500,0,0,1,1,0,-124,0,17,2,0,0,0,0,1552,6,1,3,19,596,2.0,0,0,24,264,4,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0,0.0,720.0,1280.0
510,62,0,924,169500,0,0,1,1,0,-124,1,68,6,160,3,65,4,1458,6,0,1,29,929,2.0,0,1,8,269,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
586,62,0,1504,169500,0,0,1,0,0,-124,1,493,5,73,2,44,3,752,6,0,3,2,1159,3.0,0,1,0,417,6,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
603,62,0,2887,169500,0,0,1,1,0,1,1,87,6,156158,7,2,1,2350,6,0,2,29,929,2.0,0,1,9,324,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
654,62,0,1954,169500,0,0,1,1,0,-124,1,191,4,231,3,121,5,1347,6,0,4,2,1153,5.0,0,0,14,96,1,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
696,62,0,5668,169500,0,0,1,1,0,1,1,1,1,69,2,0,0,1650,6,1,3,2,1166,11.0,0,1,9,372,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
829,62,0,939,169500,0,0,1,1,0,1,1,156,4,968,3,83,4,2163,6,0,2,10,851,3.0,0,1,43,232,3,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,7303,0,1105,55533,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
625,7303,0,2429,55533,0,0,1,0,0,-124,1,360,5,294,3,90,4,491,5,1,5,10,320,6.0,0,1,8,181,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
673,7303,0,5310,55533,0,0,1,1,0,-124,1,229,4,418,3,146,5,1149,6,1,1,2,1153,4.0,0,0,7,176,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,6308,0,1704,7600,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
81,6308,1,7594,7600,0,0,1,1,0,-124,0,28,2,5,1,5,2,414,5,0,1,2,1177,2.0,0,1,9,310,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
181,6308,0,1523,7600,0,0,1,4,0,-124,1,224,4,301,3,164,5,1535,6,1,2,28,1000,15.0,0,0,15,214,6,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
197,6308,0,2371,7600,0,0,1,1,0,-124,1,8,1,6,1,6,2,235,4,1,4,10,69,1.0,0,0,14,116,5,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
410,6308,0,637,7600,0,0,1,0,0,-124,1,31,2,6,1,0,0,823,6,0,4,2,1176,2.0,0,1,8,259,6,2,2,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,1280.0,720.0
756,6308,1,12737,7600,0,0,1,1,0,-124,1,17,2,2,1,0,0,165,3,1,4,19,659,1.0,0,1,43,20,0,0,0,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,1280.0,720.0
0,6614,0,1141,0,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
110,6614,1,7631,0,0,0,1,1,0,-124,1,289,5,380,3,289,6,738,6,1,1,2,1160,4.0,0,1,10,76,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
244,6614,0,3486,0,0,0,1,1,0,-124,1,477,5,1278,4,166,5,1816,6,1,4,19,569,1.0,0,0,7,40,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
269,6614,0,1587,0,0,0,1,1,0,-124,0,37,2,0,0,0,0,307,4,1,1,19,595,1.0,0,0,13,392,6,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
339,6614,0,2137,0,0,0,1,1,0,-124,1,507,7,237,3,186,5,822,6,1,4,16,839,2.0,0,1,43,221,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
377,6614,0,2925,0,0,0,1,1,0,-124,1,279,5,270,3,127,5,1330,6,1,5,29,920,1.0,0,0,28,278,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
477,6614,0,1757,0,0,0,1,1,0,-124,1,139,3,208,3,129,5,890,6,0,2,29,920,1.0,0,0,42,115,1,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
673,6614,0,1938,0,0,0,1,1,0,-124,1,229,4,418,3,146,5,1149,6,1,1,2,1153,4.0,0,0,7,176,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
759,6614,0,1663,0,0,0,1,1,0,-124,1,93,6,37,2,8,2,1232,6,0,3,29,1355,0.0,0,0,22,412,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
838,6614,0,990,0,0,0,1,1,0,-124,1,431,5,438,3,430,6,600,5,1,1,29,968,4.0,0,0,42,131,1,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1079.0,1033.0
0,5066,0,1409,16966,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
372,5066,0,3439,16966,0,0,1,1,0,-124,1,107,3,243,3,93,4,442,5,1,1,2,1165,6.0,0,0,22,412,5,4,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
569,5066,1,16395,16966,0,0,1,0,0,1,1,82,6,53,2,24,2,1541,6,1,4,2,1157,4.0,0,0,7,77,5,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
679,5066,1,18689,16966,0,0,1,2,0,-124,1,365,5,498,3,363,6,673,5,0,1,29,918,1.0,0,1,21,103,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
681,5066,0,1974,16966,0,0,1,1,0,-124,1,0,0,1,1,0,0,1981,6,1,2,2,1160,4.0,0,1,20,411,6,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
764,5066,0,1531,16966,0,0,1,0,0,-124,1,55,6,32,2,30,3,1044,6,1,4,28,68,15.0,0,0,14,308,3,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
939,5066,0,1445,16966,0,0,1,1,0,1,1,592,7,204,3,99,4,1123,6,0,2,19,647,1.0,0,0,30,368,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,4327,0,1287,150233,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
212,4327,0,1002,150233,0,0,1,0,0,-124,1,54,6,11,2,1,1,451,5,0,4,2,1185,2.0,0,0,13,333,6,0,1,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,720.0,1280.0
571,4327,0,1077,150233,0,0,1,0,0,-124,0,167,4,12,2,6,2,1108,6,1,3,10,274,1.0,0,0,7,138,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
625,4327,1,46950,150233,0,0,1,0,0,-124,1,360,5,294,3,90,4,491,5,1,5,10,320,6.0,0,1,8,181,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
770,4327,0,1624,150233,0,0,1,1,0,-124,1,29,2,810,3,21,2,1506,6,0,2,2,1160,4.0,0,0,30,251,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,5898,0,2142,37616,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
50,5898,0,2698,37616,0,0,1,0,0,-124,0,68,6,39,2,38,3,138,3,1,1,2,1180,2.0,0,0,42,120,1,4,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
132,5898,0,1668,37616,0,0,1,1,0,1,1,1000,7,872,3,584,6,1636,6,0,4,29,904,2.0,0,0,7,190,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
150,5898,0,1373,37616,0,0,1,0,0,-124,0,32,2,11,2,2,1,573,5,1,2,29,906,1.0,0,0,15,151,3,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
468,5898,0,1982,37616,0,0,1,2,0,-124,1,163,4,165,3,143,5,462,5,0,1,2,1220,2.0,0,0,1,82,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
619,5898,0,542,37616,0,0,1,0,0,-124,1,14,2,23,2,12,2,54,1,0,1,29,958,1.0,0,1,20,383,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
623,5898,0,2189,37616,0,0,1,0,0,-124,0,493,5,13,2,8,2,2339,6,1,4,29,923,2.0,0,0,19,81,6,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
967,5898,0,5952,37616,0,0,1,1,0,-124,1,12,2,7,1,0,0,1750,6,1,2,2,1171,5.0,0,0,1,82,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1280.0,720.0
0,3240,0,1162,40633,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1282.0
58,3240,0,5484,40633,0,0,1,1,0,1,1,31,2,23,2,0,0,1000,6,0,3,2,1165,6.0,0,1,8,287,2,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1282.0
440,3240,0,1632,40633,0,0,1,1,0,-124,1,476,5,591,3,446,6,1264,6,0,2,29,1316,1.0,0,1,0,58,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1282.0
558,3240,1,17300,40633,0,0,1,1,0,1,1,90,6,172,3,86,4,1235,6,1,2,2,1160,4.0,0,1,8,36,4,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1282.0
598,3240,0,1416,40633,0,0,1,0,0,-124,0,285,5,49,2,41,3,1802,6,0,1,19,567,0.0,0,1,8,294,6,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1282.0
782,3240,1,32492,40633,0,0,1,2,0,-124,1,1228,7,10,2,7,2,733,6,1,1,10,286,1.0,0,0,15,394,4,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1282.0
0,3823,0,1148,172000,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
31,3823,0,3512,172000,0,0,1,1,0,-124,1,402,5,81,2,36,3,1127,6,1,6,29,1403,3.0,0,1,44,400,5,3,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
115,3823,0,1659,172000,0,0,1,0,0,-124,1,167,4,44,2,21,2,1187,6,0,1,19,567,0.0,0,1,8,260,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
417,3823,0,1603,172000,0,0,1,1,0,1,1,163,4,197,3,143,5,1450,6,1,2,2,1171,5.0,0,1,32,33,2,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
664,3823,0,6460,172000,0,0,1,1,0,-124,0,62,6,5,1,1,1,1181,6,1,4,10,716,0.0,0,1,17,447,3,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
816,3823,0,6772,172000,0,0,1,0,0,-124,1,24,2,2,1,0,0,184,4,1,0,29,1350,0.0,0,0,13,330,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
892,3823,1,16381,172000,0,0,1,1,0,-124,1,334,5,349,3,195,5,1544,6,1,1,2,1152,3.0,0,1,44,147,4,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,3941,0,986,31103,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
17,3941,1,17226,31103,0,0,1,0,0,-124,0,14,2,0,0,0,0,77,2,1,1,29,1325,2.0,0,1,9,167,1,3,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
286,3941,0,2604,31103,0,0,1,1,0,-124,1,38,2,26,2,6,2,3187,6,0,3,29,955,3.0,0,1,32,33,2,2,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
347,3941,1,7011,31103,0,0,1,1,0,1,1,293,5,186,3,65,4,1468,6,0,3,29,952,4.0,0,0,31,42,6,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,2697,0,1513,87366,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
61,2697,0,1237,87366,0,0,1,1,0,-124,1,792,7,112,3,8,2,2130,6,1,6,33,956,2.0,0,1,21,91,5,3,0,1.0,0.0,1.0,1.0,1.0,0.0,0,0.0,720.0,1280.0
186,2697,1,39252,87366,0,0,1,1,0,-124,1,599,7,1775,4,66,4,1916,6,1,2,19,569,1.0,0,0,31,193,3,3,0,1.0,0.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
215,2697,0,6868,87366,0,0,1,1,0,-124,1,331,5,40,2,4,1,1788,6,1,4,19,612,2.0,0,1,20,85,4,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
401,2697,0,2974,87366,0,0,1,0,0,-124,1,833,7,3,1,3,1,253,4,1,2,10,282,2.0,0,1,20,191,5,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
440,2697,0,5136,87366,0,0,1,1,0,-124,1,476,5,591,3,446,6,1264,6,0,2,29,1316,1.0,0,1,0,58,1,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
516,2697,1,11337,87366,0,0,1,0,0,-124,0,14,2,1,1,0,0,34,1,1,1,10,238,3.0,0,1,9,310,3,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,7250,0,1120,19866,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
145,7250,1,11297,19866,0,3766,1,1,0,1,1,112,3,207,3,97,4,853,6,1,2,2,1157,4.0,0,1,8,200,5,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
185,7250,1,19463,19866,0,0,1,2,0,-124,1,67,6,2,1,0,0,1335,6,1,1,19,595,1.0,0,1,34,381,1,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
432,7250,0,979,19866,0,0,1,0,0,-124,1,523,7,14,2,0,0,596,5,1,1,19,535,1.0,0,1,8,181,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
537,7250,0,1203,19866,0,0,1,0,0,-124,0,134,3,7,1,1,1,463,5,0,6,10,230,1.0,0,0,31,283,6,2,0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
625,7250,0,1693,19866,0,0,1,0,0,-124,1,360,5,294,3,90,4,491,5,1,5,10,320,6.0,0,1,8,181,2,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
766,7250,0,1155,19866,0,0,1,1,0,-124,1,1005,7,395,3,175,5,1686,6,0,6,29,926,1.0,0,0,7,182,1,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
770,7250,0,1783,19866,0,0,1,1,0,-124,1,29,2,810,3,21,2,1506,6,0,2,2,1160,4.0,0,0,30,251,3,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
831,7250,0,1311,19866,0,0,1,1,0,-124,1,16,2,156,3,15,2,1330,6,0,1,2,1167,9.0,0,1,44,101,5,3,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
989,7250,0,1090,19866,0,0,1,2,0,-124,1,26,2,9,1,4,1,789,6,1,1,2,1154,3.0,0,0,31,432,4,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
0,6323,0,1486,94933,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
171,6323,0,3939,94933,0,0,1,0,0,1,1,93,6,58,2,16,2,1860,6,1,4,2,1160,5.0,0,0,13,67,6,2,2,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
269,6323,0,1503,94933,0,0,1,1,0,-124,0,37,2,0,0,0,0,307,4,1,1,19,595,1.0,0,0,13,392,6,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
405,6323,1,20603,94933,0,0,1,4,0,-124,1,328,5,5,1,5,2,1545,6,1,2,31,414,0.0,0,1,8,209,6,0,0,2.0,2.0,2.0,2.0,2.0,2.0,0,0.0,720.0,1280.0
733,6323,0,1457,94933,0,0,1,0,0,-124,1,229,4,6,1,3,1,781,6,0,0,29,918,1.0,0,0,13,330,5,3,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
859,6323,0,1308,94933,0,0,1,1,0,-124,1,53,6,13,2,2,1,1840,6,1,4,10,1024,2.0,0,0,24,264,4,2,0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,720.0,1280.0
0,3656,0,947,41000,0,0,1,1,0,1,1,514,7,150,3,34,3,799,6,1,1,29,949,1.0,0,0,14,135,6,3,0,0.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
254,3656,0,1115,41000,0,0,1,0,0,-124,1,14,2,5,1,0,0,1702,6,1,1,19,625,2.0,0,0,15,214,6,0,0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
269,3656,0,2330,41000,0,0,1,1,0,-124,0,37,2,0,0,0,0,307,4,1,1,19,595,1.0,0,0,13,392,6,4,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0.0,720.0,1280.0
